Spend,Estimated Transactions,Estimated CAC
9700,22.133244075837634,438.2547794062088
9800,21.29060740401815,460.2968724203922
9900,18.88337198486504,524.2707715515437
10000,18.88337198486504,529.5664359106503
10100,18.864322503872607,535.402212187933
10200,19.02173761465499,536.228614158865
10300,19.631042195021333,524.6792247541601
10400,17.832259499071238,583.2126882486017
10500,19.62669330082305,534.9856870469199
10600,17.590300635311767,602.6048229511756
10700,17.505917801387767,611.221880588961
10800,17.506388507172186,616.9176466965389
10900,17.421660979571175,625.6579101603146
11000,17.421660979571175,631.3978909874734
11100,17.368478196644872,639.0888064185281
11200,17.58416038034288,636.9368657783823
11300,17.58416038034288,642.623802079975
11400,17.80548235976974,640.2522419587752
11500,19.053666710327864,603.5583688344108
11600,19.053666710327864,608.8067024764492
11700,19.053666710327864,614.0550361184876
11800,19.053666710327864,619.3033697605259
11900,19.053666710327864,624.5517034025643
12000,17.59043150921658,682.1890636231722
12100,17.59043150921658,687.8739724866986
12200,17.59043150921658,693.558881350225
12300,17.59043150921658,699.2437902137514
12400,17.59043150921658,704.9286990772779
12500,17.59043150921658,710.6136079408043
12600,17.59043150921658,716.2985168043307
12700,17.756834435990182,715.2175713402604
12800,17.59043150921658,727.6683345313836
12900,17.59043150921658,733.35324339491
13000,20.64399342969361,629.7231223345212
13100,20.64399342969361,634.5671463524791
13200,21.081092546854556,626.1535055956828
13300,19.24034276275841,691.2558764672045
13400,19.299119792844902,694.3321842568186
13500,19.299119792844902,699.5137677214217
13600,19.299119792844902,704.6953511860248
13700,19.345894137024903,708.160600020054
13800,19.345894137024903,713.3296554946529
13900,19.345894137024903,718.4987109692519
14000,20.95935665354105,667.959433651544
14100,20.939027858776207,673.3836974236722
14200,20.886266323136212,679.8725909316939
14300,20.886266323136212,684.6604260791001
14400,20.886266323136212,689.4482612265065
14500,20.886266323136212,694.2360963739128
14600,20.886266323136212,699.023931521319
14700,19.841970848246806,740.8538250775053
14800,19.841970848246806,745.8936470168081
14900,19.499047229520503,764.1398999968678
15000,19.499047229520503,769.2683557015448
15100,19.499047229520503,774.3968114062218
15200,19.499047229520503,779.5252671108988
15300,19.782325163312663,773.417678341201
15400,19.782325163312663,778.472695846699
15500,19.782325163312663,783.5277133521971
15600,19.455944231764136,801.811508820587
15700,19.455944231764136,806.9513261848216
15800,19.455944231764136,812.0911435490561
15900,19.455944231764136,817.2309609132907
16000,19.455944231764136,822.3707782775252
16100,19.455944231764136,827.5105956417598
16200,19.306837067964135,839.0809920326456
16300,19.306837067964135,844.2605043291434
16400,19.306837067964135,849.4400166256412
16500,19.306837067964135,854.619528922139
16600,19.306837067964135,859.7990412186367
16700,19.306837067964135,864.9785535151345
16800,19.306837067964135,870.1580658116324
16900,19.093563465564134,885.1150300193938
17000,19.093563465564134,890.3523970609288
17100,19.093563465564134,895.5897641024636
17200,19.098708632564136,900.5844494990224
17300,18.604448743007275,929.8851172089918
17400,18.604448743007275,935.2601756899686
17500,18.662276344567275,937.7205479595408
17600,18.772200978069698,937.5565508040798
17700,18.772200978069698,942.8835766609212
17800,18.772200978069698,948.2106025177626
17900,18.772200978069698,953.537628374604
18000,18.772200978069698,958.8646542314453
18100,18.772200978069698,964.1916800882866
18200,18.772200978069698,969.518705945128
18300,18.772200978069698,974.8457318019694
18400,18.772200978069698,980.1727576588107
18500,18.772200978069698,985.4997835156521
18600,18.772200978069698,990.8268093724935
18700,18.772200978069698,996.1538352293348
18800,18.772200978069698,1001.4808610861762
18900,18.772200978069698,1006.8078869430176
19000,18.772200978069698,1012.134912799859
19100,18.772200978069698,1017.4619386567002
19200,18.692980354913164,1027.123531692664
19300,18.692980354913164,1032.4731334202302
19400,18.692980354913164,1037.822735147796
19500,18.755282991858493,1039.7070525923166
19600,18.755282991858493,1045.0388836312516
19700,18.755282991858493,1050.3707146701865
19800,18.945753607105072,1045.0890690658284
19900,18.945753607105072,1050.367296687373
20000,18.816103590778773,1062.9193182057852
20100,18.816103590778773,1068.2339147968141
20200,18.816103590778773,1073.548511387843
20300,18.816103590778773,1078.863107978872
20400,18.498237054658773,1102.807794046637
20500,18.498237054658773,1108.2137146056891
20600,18.498237054658773,1113.619635164741
20700,18.498237054658773,1119.0255557237933
20800,18.498237054658773,1124.4314762828456
20900,18.498237054658773,1129.8373968418975
21000,19.25851564591333,1090.4267175158027
21100,19.25851564591333,1095.6192256944494
21200,20.665239007919634,1025.8773194868652
21300,20.665239007919634,1030.716363446709
21400,20.665239007919634,1035.5554074065526
21500,20.665239007919634,1040.3944513663962
21600,26.51177583911088,814.7322959835494
21700,27.452973747037184,790.442601954622
21800,36.77502221042364,592.7936596547025
